"item_id","cate_id"
"460068","1_3"
"469949","1_8"
"530202","1_2"
"460060","1_15"
"460061","1_3"
"243523","1_3"
"490880","1_6"
"524446","1_6"
"490887","1_5"
"452893","1_1"
"493659","1_1"
"498606","1_17"
"498603","1_3"
"359102","1_1"
"534094","1_2"
"494929","1_5"
"489160","1_15"
"523056","1_6"
"523051","1_17"
"489167","1_11"
"523053","1_6"
"489165","1_15"
"494920","1_18"
"456520","1_6"
"489169","1_17"
"523059","1_6"
"494925","1_18"
"494926","1_18"
"494927","1_12"
"431442","1_6"
"527746","1_3"
"486800","1_11"
"486801","1_12"
"486802","1_8"
"515066","1_11"
"486805","1_12"
"515063","1_9"
"486809","1_23"
"515069","1_17"
"260296","1_5"
"286234","1_5"
"473971","1_23"
"195518","1_5"
"362318","1_2"
"513389","1_5"
"565188","1_27"
"512873","1_12"
"546301","1_1"
"546302","1_6"
"546304","1_6"
"546305","1_6"
"546306","1_6"
"546308","1_11"
"323058","1_4"
"499142","1_2"
"545968","1_7"
"545967","1_1"
"562114","1_1"
"565187","1_6"
"545963","1_23"
"479368","1_2"
"510589","1_14"
"510585","1_5"
"510584","1_6"
"510587","1_11"
"510580","1_6"
"510582","1_3"
"473973","1_11"
"489787","1_17"
"460587","1_5"
"489781","1_11"
"478747","1_9"
"489789","1_6"
"554377","1_1"
"554374","1_11"
"554375","1_6"
"554372","1_5"
"554373","1_5"
"500608","1_23"
"491721","1_6"
"491720","1_3"
"463003","1_5"
"500604","1_23"
"491725","1_11"
"463007","1_23"
"554379","1_11"
"530571","1_8"
"427323","1_2"
"458257","1_11"
"499265","1_14"
"499260","1_9"
"499262","1_7"
"382694","1_6"
"506609","1_18"
"513583","1_9"
"513584","1_5"
"513585","1_23"
"513587","1_6"
"513588","1_3"
"506600","1_18"
"506605","1_1"
"521091","1_27"
"506607","1_4"
"506606","1_18"
"488785","1_27"
"488784","1_5"
"488787","1_15"
"484401","1_11"
"484406","1_6"
"488780","3_19"
"565031","1_17"
"565030","1_23"
"565033","1_23"
"565032","1_3"
"565035","1_23"
"565034","1_3"
"479251","1_12"
"528826","1_6"
"565039","1_27"
"513058","1_3"
"513059","1_3"
"415033","1_1"
"513052","1_6"
"513053","1_6"
"513050","1_17"
"513057","1_5"
"513055","1_12"
"462356","1_2"
"462357","1_11"
"462354","1_2"
"462355","1_11"
"462352","1_23"
"462353","1_9"
"462351","1_11"
"430806","3_20"
"557099","1_14"
"427569","1_18"
"549936","1_16"
"549937","1_17"
"549934","1_1"
"549935","1_6"
"549932","1_6"
"549933","1_6"
"549930","1_6"
"549931","1_2"
"462167","3_2"
"549938","1_6"
"533397","1_9"
"543476","1_11"
"543471","1_1"
"543470","1_1"
"543473","1_1"
"543472","1_1"
"258941","1_3"
"486603","1_11"
"543479","1_6"
"543478","1_2"
"533399","1_13"
"533398","1_11"
"256129","1_5"
"528569","1_13"
"252630","1_6"
"462811","1_9"
"473835","1_2"
"467808","1_13"
"495725","1_17"
"467807","1_13"
"495726","1_5"
"495720","1_3"
"456604","1_6"
"488529","1_27"
"473834","1_3"
"380854","1_11"
"483507","1_23"
"497760","3_1"
"169022","1_5"
"497769","1_6"
"497768","1_12"
"495897","1_11"
"495896","1_23"
"495895","1_17"
"495894","1_6"
"495891","1_17"
"519511","1_9"
"519510","1_14"
"519513","1_6"
"519515","1_6"
"519514","3_7"
"519516","1_6"
"388676","1_5"
"495340","1_17"
"504765","1_15"
"446242","1_23"
"446243","1_23"
"446240","1_23"
"446241","1_23"
"503721","3_1"
"503722","1_11"
"503726","1_12"
"564847","1_6"
"532445","1_23"
"532446","3_8"
"532447","1_10"
"532440","1_6"
"532441","1_17"
"564841","1_3"
"497496","1_10"
"497499","1_3"
"497498","1_12"
"532448","1_6"
"564849","1_11"
"564848","1_17"
"458216","1_3"
"257653","3_1"
"545148","1_23"
